Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,RSI,MACD,MACD_Signal,Volume_SMA
2023-03-29 00:00:00-04:00,202.60512217791344,204.75499352353694,201.58990262238925,204.38673400878906,18851100,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,0.0,0.0,20141855.0
2023-03-30 00:00:00-04:00,202.42596600872767,207.1138632813057,201.86859535261925,206.8650360107422,22608300,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,0.19769930499913357,0.03953986099982672,20141855.0
2023-03-31 00:00:00-04:00,206.26785132151798,211.17471760847994,205.80005485682372,210.94580078125,25440300,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,0.6758700321472304,0.16680589522930744,20141855.0
2023-04-03 00:00:00-04:00,207.86035751864137,212.4885541401174,207.22336027540834,212.07052612304688,17924600,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,1.1325246743336663,0.3599496510501793,20141855.0
2023-04-04 00:00:00-04:00,212.38899048112867,215.2256272538082,211.5429717419898,213.71275329589844,21026400,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,1.608400140840189,0.6096397490081813,20141855.0
2023-04-05 00:00:00-04:00,213.14541879560053,214.18054867267878,208.95517636088778,210.48794555664062,19396600,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,1.7056580782382298,0.828843414854191,20141855.0
2023-04-06 00:00:00-04:00,208.26843026535886,215.92235971438376,207.6712387273477,215.0863037109375,26104400,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,2.1292402115482503,1.088922774193003,20141855.0
2023-04-10 00:00:00-04:00,213.7028090671633,214.64834961067015,209.6718044477809,213.74261474609375,16106100,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,2.3296528463016273,1.3370687886147279,20141855.0
2023-04-11 00:00:00-04:00,214.46919096688868,215.00666636154685,212.40890911992813,212.8468475341797,16710100,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,2.3886653284622525,1.5473880965842328,20141855.0
2023-04-12 00:00:00-04:00,213.83219549453068,215.8228136209453,211.5828024790781,212.9961395263672,18972200,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,2.4195882545635925,1.7218281281801049,20141855.0
2023-04-13 00:00:00-04:00,214.71802222564747,220.11259558285633,214.67821654507077,219.3163604736328,23310400,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,2.9204191325779902,1.9615463290596822,20141855.0
2023-04-14 00:00:00-04:00,216.85795280807292,221.06810607273064,216.52949898072916,220.45101928710938,21591200,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,3.3700409607859,2.243245255404926,20141855.0
2023-04-17 00:00:00-04:00,218.75897365041038,219.94339387278424,216.1114630684577,217.83334350585938,15481900,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,3.4750863084754826,2.4896134660190374,20141855.0
2023-04-18 00:00:00-04:00,218.8784333482308,219.40594596956302,215.19579262276017,216.86790466308594,12281000,0.0,0.0,212.65226516723632,233.33727905273437,70.41012583939508,3.44076960700275,2.67984469421578,20141855.0
2023-04-19 00:00:00-04:00,212.46863633007044,216.31053009137096,211.93116090734108,214.68817138671875,15898100,0.0,0.0,212.65226516723632,233.33727905273437,65.72466721790676,3.2007903959734563,2.7840338345673152,20141855.0
2023-04-20 00:00:00-04:00,212.47859132888405,215.73325647483384,211.7719303430787,212.07052612304688,16475400,0.0,0.0,212.65226516723632,233.33727905273437,57.9122806447887,2.7674812449769775,2.7807233166492478,20141855.0
2023-04-21 00:00:00-04:00,209.22392121007456,212.4089071193459,208.5968716512829,211.89134216308594,17717200,0.0,0.0,212.65226516723632,233.33727905273437,51.63061354772058,2.382161893458914,2.701011032011181,20141855.0
2023-04-24 00:00:00-04:00,212.67763354165274,212.91651318444914,209.72157959330661,211.79180908203125,15750900,0.0,0.0,212.65226516723632,233.33727905273437,49.50172565613669,2.045186407673043,2.5698461071435537,20141855.0
2023-04-25 00:00:00-04:00,209.8310656719504,210.2689889060037,206.1583727694138,206.57640075683594,19198200,0.0,0.0,212.65226516723632,233.33727905273437,38.687328805891156,1.341823338364577,2.324241553387758,20141855.0
2023-04-26 00:00:00-04:00,211.50318897041646,213.10563726845726,207.90017479939294,208.417724609375,41992700,0.0,0.0,212.65226516723632,233.33727905273437,46.56770034860835,0.9223502057657242,2.0438632838633515,20141855.0
2023-04-27 00:00:00-04:00,238.7646961349494,240.55625552795624,235.65933664521174,237.44093322753906,71196500,0.0,0.0,214.30497512817382,233.33727905273437,70.47773121353754,2.8984337642296794,2.214777379936617,22759125.0
